model_line,base_model_id,model_revision,adapter_path,train_dataset,train_dataset_sha256,train_examples,train_composition,validation_dataset,validation_dataset_sha256,validation_examples,validation_composition,prompt_template,loss_type,packing,max_sequence_length,lora_r,lora_alpha,effective_scaling,lora_dropout,lora_bias,lora_task_type,lora_target_modules,adapted_module_instances,trainable_parameters,total_parameters_with_adapter,trainable_percent,learning_rate,optimizer,scheduler,warmup_configuration,weight_decay,max_grad_norm,per_device_train_batch_size,per_device_eval_batch_size,gradient_accumulation_steps,world_size,effective_global_batch_size,max_epochs,completed_epochs,seed,data_seed,precision,gradient_checkpointing,attention_implementation,evaluation_interval,save_interval,early_stopping,selection_metric,best_checkpoint,final_training_step,best_eval_loss,training_runtime_seconds,status
Qwen 3.5 2B,Qwen/Qwen3.5-2B-Base,b1485b2fa6dfa1287294f269f5fb618e03d52d7c,adapters/qwen35_2b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5,data/sql_create_context/train_sft_qwen35_2b_base_full_chat_v1_clean_anti_overjoin_mix_spider_train_sqlcc_spider_schema_harmonized_complexity_enriched_25k_seed42_no_dev_overlap.jsonl,c4b72a87d175b79895081a83f525997b71a230fd9088a7f8c59c40673fa0a40d,25000,"6960 Spider Train; 18040 SQL Create Context",data/sql_create_context/val_sft_qwen35_full_chat_v2_mixed_trainothers700_sqlcc1800_no_train_no_dev_overlap_seed42_schemaheaderfix.jsonl,711b23a6dfca40234a33e9aca66506eb33df197f69b6f466fd875854bdb89c08,2500,"700 train_others; 1800 SQL Create Context",qwen_sqlctx_chatml,full_chat,true,2048,8,16,2.0,0.05,none,CAUSAL_LM,"all-linear resolved to q_proj;k_proj;v_proj;o_proj;gate_proj;up_proj;down_proj;in_proj_a;in_proj_b;in_proj_qkv;in_proj_z;out_proj",186,8409600,1890234688,0.444897,0.0001,adamw_torch_fused,constant,"warmup_ratio=0.03 configured; no ramp under constant scheduler",0,0.3,2,1,4,1,8,5,3,42,not separately set,FP16,true,flash_attention_2,epoch,epoch,"patience=2; threshold=0.001",packed full-chat eval_loss on MixedVal2500-v2,checkpoint-502,1506,0.4983386695384979,28890.4536,AUTHORITATIVE_WITH_DOCUMENTATION_WARNINGS
Llama 3.2 3B Instruct,meta-llama/Llama-3.2-3B-Instruct,0cb88a4f764b7a12671c53f0838cd831a0843b95,adapters/llama32_3b_instruct/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5,data/sql_create_context/train_sft_llama32_3b_instruct_full_chat_v2_old25k_no_dev_overlap_seed42.jsonl,14f151ba086d183a139579871762992f699a195bc9300214b544947f8d73edb8,25000,"6960 Spider Train; 18040 SQL Create Context",data/sql_create_context/val_sft_llama32_3b_instruct_full_chat_v2_mixed_trainothers700_sqlcc1800_no_train_no_dev_overlap_seed42_schemaheaderfix.jsonl,917b0f16a45dc86ead42fea508595860b8700d6fb2c019c8125c3170d032bfb0,2500,"700 train_others; 1800 SQL Create Context",llama32_instruct_native_chat,full_chat,true,2048,8,16,2.0,0.05,none,CAUSAL_LM,"all-linear resolved to q_proj;k_proj;v_proj;o_proj;gate_proj;up_proj;down_proj",196,12156928,3224906752,0.376970,0.0001,adamw_torch_fused,constant,"warmup_ratio=0.03 configured; no ramp under constant scheduler",0,0.3,2,1,4,1,8,5,3,42,not separately set,FP16,true,flash_attention_2,epoch,epoch,"patience=2; threshold=0.001",packed full-chat eval_loss on MixedVal2500-v2,checkpoint-509,1527,0.480833500623703,6374.435,AUTHORITATIVE
Qwen 3.5 9B,Qwen/Qwen3.5-9B-Base,68c46c4b3498877f3ef123c856ecfde50c39f404,adapters/qwen35_9b_base/lora_v2_fullchat_old25k_r8_alpha16_mixedval2500_v2_schemaheaderfix_evalstop_maxlen2048_epochs5,data/sql_create_context/train_sft_qwen35_9b_base_full_chat_v1_clean_anti_overjoin_mix_spider_train_sqlcc_spider_schema_harmonized_complexity_enriched_25k_seed42_no_dev_overlap.jsonl,c4b72a87d175b79895081a83f525997b71a230fd9088a7f8c59c40673fa0a40d,25000,"6960 Spider Train; 18040 SQL Create Context",data/sql_create_context/val_sft_qwen35_full_chat_v2_mixed_trainothers700_sqlcc1800_no_train_no_dev_overlap_seed42_schemaheaderfix.jsonl,711b23a6dfca40234a33e9aca66506eb33df197f69b6f466fd875854bdb89c08,2500,"700 train_others; 1800 SQL Create Context",qwen_sqlctx_chatml,full_chat,true,2048,8,16,2.0,0.05,none,CAUSAL_LM,"all-linear resolved to q_proj;k_proj;v_proj;o_proj;gate_proj;up_proj;down_proj;in_proj_a;in_proj_b;in_proj_qkv;in_proj_z;out_proj",248,21639168,8975442432,0.241093,0.0001,adamw_torch_fused,constant,"warmup_ratio=0.03 configured; no ramp under constant scheduler",0,0.3,2,1,4,1,8,5,3,42,not separately set,FP16,true,flash_attention_2,epoch,epoch,"patience=2; threshold=0.001",packed full-chat eval_loss on MixedVal2500-v2,checkpoint-502,1506,0.4077516198158264,41273.6180,AUTHORITATIVE_WITH_DOCUMENTATION_WARNINGS
